datetime;date;year;month;day;hour;weekday;price
2021-01-01 00:00:00;2021/01/01;2021;1;1;0;4;3.094
2021-01-01 01:00:00;2021/01/01;2021;1;1;1;4;3.019
2021-01-01 02:00:00;2021/01/01;2021;1;1;2;4;2.974
2021-01-01 03:00:00;2021/01/01;2021;1;1;3;4;2.941
2021-01-01 04:00:00;2021/01/01;2021;1;1;4;4;2.943
2021-01-01 05:00:00;2021/01/01;2021;1;1;5;4;2.983
2021-01-01 06:00:00;2021/01/01;2021;1;1;6;4;3.031
2021-01-01 07:00:00;2021/01/01;2021;1;1;7;4;3.091
2021-01-01 08:00:00;2021/01/01;2021;1;1;8;4;3.088
2021-01-01 09:00:00;2021/01/01;2021;1;1;9;4;3.109
2021-01-01 10:00:00;2021/01/01;2021;1;1;10;4;3.178
2021-01-01 11:00:00;2021/01/01;2021;1;1;11;4;3.214
2021-01-01 12:00:00;2021/01/01;2021;1;1;12;4;3.24
2021-01-01 13:00:00;2021/01/01;2021;1;1;13;4;3.295
2021-01-01 14:00:00;2021/01/01;2021;1;1;14;4;3.385
2021-01-01 15:00:00;2021/01/01;2021;1;1;15;4;3.548
2021-01-01 16:00:00;2021/01/01;2021;1;1;16;4;3.751
2021-01-01 17:00:00;2021/01/01;2021;1;1;17;4;3.744
2021-01-01 18:00:00;2021/01/01;2021;1;1;18;4;3.574
2021-01-01 19:00:00;2021/01/01;2021;1;1;19;4;3.503
2021-01-01 20:00:00;2021/01/01;2021;1;1;20;4;3.388
2021-01-01 21:00:00;2021/01/01;2021;1;1;21;4;3.503
2021-01-01 22:00:00;2021/01/01;2021;1;1;22;4;3.349
2021-01-01 23:00:00;2021/01/01;2021;1;1;23;4;3.179
2021-01-02 00:00:00;2021/01/02;2021;1;2;0;5;3.173
2021-01-02 01:00:00;2021/01/02;2021;1;2;1;5;3.089
2021-01-02 02:00:00;2021/01/02;2021;1;2;2;5;3.068
2021-01-02 03:00:00;2021/01/02;2021;1;2;3;5;3.058
2021-01-02 04:00:00;2021/01/02;2021;1;2;4;5;3.065
2021-01-02 05:00:00;2021/01/02;2021;1;2;5;5;3.09
2021-01-02 06:00:00;2021/01/02;2021;1;2;6;5;3.177
2021-01-02 07:00:00;2021/01/02;2021;1;2;7;5;3.248
2021-01-02 08:00:00;2021/01/02;2021;1;2;8;5;3.474
2021-01-02 09:00:00;2021/01/02;2021;1;2;9;5;3.429
2021-01-02 10:00:00;2021/01/02;2021;1;2;10;5;3.575
2021-01-02 11:00:00;2021/01/02;2021;1;2;11;5;3.69
2021-01-02 12:00:00;2021/01/02;2021;1;2;12;5;3.549
2021-01-02 13:00:00;2021/01/02;2021;1;2;13;5;3.561
2021-01-02 14:00:00;2021/01/02;2021;1;2;14;5;4.555
2021-01-02 15:00:00;2021/01/02;2021;1;2;15;5;5.71
2021-01-02 16:00:00;2021/01/02;2021;1;2;16;5;7.301
2021-01-02 17:00:00;2021/01/02;2021;1;2;17;5;7.503
2021-01-02 18:00:00;2021/01/02;2021;1;2;18;5;7.42
2021-01-02 19:00:00;2021/01/02;2021;1;2;19;5;4.979
2021-01-02 20:00:00;2021/01/02;2021;1;2;20;5;3.395
2021-01-02 21:00:00;2021/01/02;2021;1;2;21;5;3.863
2021-01-02 22:00:00;2021/01/02;2021;1;2;22;5;3.461
